"VRSTA VOZILA";"OBÈINE";"LETO";Cestna vozila konec leta (31.12.)
"Vozila - SKUPAJ";"Dol pri Ljubljani";"2016";4258
"Vozila - SKUPAJ";"Dol pri Ljubljani";"2017";4419
"Vozila - SKUPAJ";"Dol pri Ljubljani";"2018";4654
"Vozila - SKUPAJ";"Dol pri Ljubljani";"2019";4870
"Vozila - SKUPAJ";"Dolenjske Toplice";"2010";2365
"Vozila - SKUPAJ";"Dolenjske Toplice";"2011";2402
"Vozila - SKUPAJ";"Dolenjske Toplice";"2012";2423
"Vozila - SKUPAJ";"Dolenjske Toplice";"2013";2457
"Vozila - SKUPAJ";"Dolenjske Toplice";"2014";2501
"Vozila - SKUPAJ";"Dolenjske Toplice";"2015";2517
"Vozila - SKUPAJ";"Dolenjske Toplice";"2016";2528
"Vozila - SKUPAJ";"Dolenjske Toplice";"2017";2655
"Vozila - SKUPAJ";"Dolenjske Toplice";"2018";2754
"Vozila - SKUPAJ";"Dolenjske Toplice";"2019";2834
"Vozila - SKUPAJ";"Domžale";"2010";21761
"Vozila - SKUPAJ";"Domžale";"2011";22009
"Vozila - SKUPAJ";"Domžale";"2012";22139
"Vozila - SKUPAJ";"Domžale";"2013";22138
"Vozila - SKUPAJ";"Domžale";"2014";22531
"Vozila - SKUPAJ";"Domžale";"2015";22897
"Vozila - SKUPAJ";"Domžale";"2016";23269
"Vozila - SKUPAJ";"Domžale";"2017";24064
"Vozila - SKUPAJ";"Domžale";"2018";24880
"Vozila - SKUPAJ";"Domžale";"2019";25523
"Vozila - SKUPAJ";"Dornava";"2010";1859
"Vozila - SKUPAJ";"Dornava";"2011";1916
"Vozila - SKUPAJ";"Dornava";"2012";1945
"Vozila - SKUPAJ";"Dornava";"2013";1968
"Vozila - SKUPAJ";"Dornava";"2014";2012
"Vozila - SKUPAJ";"Dornava";"2015";1993
"Vozila - SKUPAJ";"Dornava";"2016";2042
"Vozila - SKUPAJ";"Dornava";"2017";2191
"Vozila - SKUPAJ";"Dornava";"2018";2230
"Vozila - SKUPAJ";"Dornava";"2019";2282
"Vozila - SKUPAJ";"Dravograd";"2010";5861
"Vozila - SKUPAJ";"Dravograd";"2011";5958
"Vozila - SKUPAJ";"Dravograd";"2012";6008
"Vozila - SKUPAJ";"Dravograd";"2013";6042
"Vozila - SKUPAJ";"Dravograd";"2014";6148
"Vozila - SKUPAJ";"Dravograd";"2015";6159
"Vozila - SKUPAJ";"Dravograd";"2016";6305
"Vozila - SKUPAJ";"Dravograd";"2017";6537
"Vozila - SKUPAJ";"Dravograd";"2018";6677
"Vozila - SKUPAJ";"Dravograd";"2019";6863
"Vozila - SKUPAJ";"Duplek";"2010";4710
"Vozila - SKUPAJ";"Duplek";"2011";4752
"Vozila - SKUPAJ";"Duplek";"2012";4777
"Vozila - SKUPAJ";"Duplek";"2013";4822
"Vozila - SKUPAJ";"Duplek";"2014";4903
"Vozila - SKUPAJ";"Duplek";"2015";4935
"Vozila - SKUPAJ";"Duplek";"2016";5055
"Vozila - SKUPAJ";"Duplek";"2017";5236
"Vozila - SKUPAJ";"Duplek";"2018";5463
"Vozila - SKUPAJ";"Duplek";"2019";5629
"Vozila - SKUPAJ";"Gorenja vas - Poljane";"2010";5059
"Vozila - SKUPAJ";"Gorenja vas - Poljane";"2011";5136
"Vozila - SKUPAJ";"Gorenja vas - Poljane";"2012";5229
"Vozila - SKUPAJ";"Gorenja vas - Poljane";"2013";5321
"Vozila - SKUPAJ";"Gorenja vas - Poljane";"2014";5407
"Vozila - SKUPAJ";"Gorenja vas - Poljane";"2015";5558
"Vozila - SKUPAJ";"Gorenja vas - Poljane";"2016";5721
"Vozila - SKUPAJ";"Gorenja vas - Poljane";"2017";5889
"Vozila - SKUPAJ";"Gorenja vas - Poljane";"2018";6055
"Vozila - SKUPAJ";"Gorenja vas - Poljane";"2019";6236
"Vozila - SKUPAJ";"Gorišnica";"2010";3191
"Vozila - SKUPAJ";"Gorišnica";"2011";3120
"Vozila - SKUPAJ";"Gorišnica";"2012";3087
"Vozila - SKUPAJ";"Gorišnica";"2013";3098
"Vozila - SKUPAJ";"Gorišnica";"2014";3150
"Vozila - SKUPAJ";"Gorišnica";"2015";3181
"Vozila - SKUPAJ";"Gorišnica";"2016";3266
